"weight";"word";"color";"url"
"10";"blows";"";""
"12";"blue";"";""
"25";"blunted";"";""
"25";"blurs";"";""
"12";"blush";"";""
"12";"board";"";""
"12";"boarded";"";""
"12";"bodes";"";""
"15";"bodies";"";""
"25";"bodiless";"";""
"0";"body";"";""
"0";"bold";"";""
"25";"bonds";"";""
"12";"bones";"";""
"25";"bonnet";"";""
"25";"bonny";"";""
"5";"book";"";""
"26";"bore";"";""
"0";"born";"";""
"0";"borne";"";""
"12";"borrowed";"";""
"25";"borrower";"";""
"25";"borrowing";"";""
"0";"bosom";"";""
"25";"botch";"";""
"25";"boughs";"";""
"5";"bought";"";""
"0";"bound";"";""
"25";"bounded";"";""
"25";"bourn";"";""
"12";"bout";"";""
"25";"bouts";"";""
"10";"bow";"";""
"25";"bowl";"";""
"12";"boys";"";""
"0";"brain";"";""
"25";"brainish";"";""
"10";"brains";"";""
"25";"brands";"";""
"0";"brave";"";""
"12";"bravery";"";""
"25";"bray";"";""
"25";"brazed";"";""
"25";"brazen";"";""
"12";"breach";"";""
"25";"breadth";"";""
"0";"break";"";""
"12";"breaking";"";""
"10";"breaks";"";""
"0";"breath";"";""
"15";"breathe";"";""
"12";"breathes";"";""
"51";"breathing";"";""
"10";"breed";"";""
"25";"breeder";"";""
"5";"breeding";"";""
"25";"brevity";"";""
"0";"bring";"";""
"5";"bringing";"";""
"12";"brings";"";""
"25";"broad";"";""
"0";"broken";"";""
"25";"brooch";"";""
"25";"brook";"";""
"0";"brother";"";""
"5";"brothers";"";""
"0";"brought";"";""
"0";"brow";"";""
"25";"bruit";"";""
"25";"brute";"";""
"25";"brutus";"";""
"25";"bubbles";"";""
"25";"buffets";"";""
"25";"bugs";"";""
"5";"build";"";""
"51";"builds";"";""
"25";"built";"";""
"25";"bulk";"";""
"25";"bulwark";"";""
"63";"buried";"";""
"0";"burn";"";""
"0";"burning";"";""
"12";"burnt";"";""
"38";"burst";"";""
"0";"business";"";""
"5";"busy";"";""
"25";"buttons";"";""
"25";"buyer";"";""
"12";"buys";"";""
"25";"buzzers";"";""
"25";"calamity";"";""
"25";"calendar";"";""
"25";"calf";"";""
"25";"called";"";""
"0";"calls";"";""
"25";"calm";"";""
"25";"calumnious";"";""
"25";"calves";"";""
"25";"camel";"";""
"25";"candied";"";""
"25";"canker";"";""
"102";"cannon";"";""
"25";"cannoneer";"";""
"25";"cannons";"";""
"25";"canon";"";""
"25";"canonized";"";""
"0";"canst";"";""
"12";"cap";"";""
"25";"capability";"";""
"12";"capable";"";""
"25";"capital";"";""
"25";"capons";"";""
"47";"captain";"";""
"12";"captains";"";""
"25";"card";"";""
"12";"carefully";"";""
"25";"careless";"";""
"25";"carouses";"";""
"12";"carp";"";""
"25";"carriage";"";""
"5";"carried";"";""
"12";"carries";"";""
"15";"carry";"";""
"25";"carrying";"";""
"12";"cart";"";""
"12";"carve";"";""
"0";"case";"";""
"0";"cast";"";""
"25";"casual";"";""
"5";"cat";"";""
"25";"cataplasm";"";""
"0";"catch";"";""
"25";"caught";"";""
"25";"cautel";"";""
"25";"caviary";"";""
"5";"cease";"";""
"25";"celestial";"";""
"12";"cell";"";""
"15";"censure";"";""
"51";"ceremony";"";""
"25";"certainty";"";""
"25";"cess";"";""
"25";"chalice";"";""
"25";"challenger";"";""
"0";"chamber";"";""
"0";"chance";"";""
"25";"chances";"";""
"0";"change";"";""
"12";"changed";"";""
"25";"changeling";"";""
"25";"chanson";"";""
"25";"chanted";"";""
"12";"chapless";"";""
"25";"characters";"";""
"0";"charge";"";""
"25";"chariest";"";""
"25";"charitable";"";""
"38";"chaste";"";""
"25";"checking";"";""
"5";"cheek";"";""
"38";"cheer";"";""
"51";"cheerfully";"";""
"25";"cherub";"";""
"38";"chief";"";""
"25";"chiefest";"";""
"12";"chiefly";"";""
"0";"child";"";""
"5";"children";"";""
"31";"choice";"";""
"0";"choose";"";""
"15";"christian";"";""
"25";"christians";"";""
"25";"chronicles";"";""
"25";"churchyards";"";""
"25";"churlish";"";""
"25";"cicatrice";"";""
"25";"circumscribed";"";""
"15";"circumstance";"";""
"25";"circumstances";"";""
"25";"circumvent";"";""
"25";"clad";"";""
"25";"claim";"";""
"25";"clamor";"";""
"25";"clapped";"";""
"51";"claudius";"";""
"25";"clawed";"";""
"51";"clay";"";""
"5";"clear";"";""
"25";"cleave";"";""
"12";"cleft";"";""
"25";"clepe";"";""
"12";"cliff";"";""
"25";"climatures";"";""
"0";"close";"";""
"12";"closely";"";""
"51";"closes";"";""
"25";"closet";"";""
"12";"clothe";"";""
"25";"clothes";"";""
"25";"cloud";"";""
"25";"clouds";"";""
"12";"clout";"";""
"25";"clown";"";""
"25";"clowns";"";""
"25";"coagulate";"";""
"38";"cock";"";""
"25";"cockle";"";""
"25";"coinage";"";""
"10";"cold";"";""
"25";"coldly";"";""
"25";"collateral";"";""
"25";"colleagued";"";""
"25";"collected";"";""
"76";"color";"";""
"25";"comart";"";""
"25";"combination";"";""
"25";"combined";"";""
"0";"comfort";"";""
"0";"coming";"";""
"25";"comma";"";""
"26";"command";"";""
"76";"commandment";"";""
"5";"commands";"";""
"25";"commeddled";"";""
"25";"commencement";"";""
"0";"commend";"";""
"25";"commendable";"";""
"25";"commended";"";""
"25";"comment";"";""
"25";"commerce";"";""
"0";"commission";"";""
"0";"common";"";""
"25";"commune";"";""
"25";"commutual";"";""
"25";"companies";"";""
"12";"companion";"";""
"12";"companions";"";""
"12";"compare";"";""
"25";"compelled";"";""
"25";"competent";"";""
"5";"complete";"";""
"25";"complexion";"";""
"12";"comply";"";""
"25";"composed";"";""
"25";"compost";"";""
"25";"compound";"";""
"12";"compounded";"";""
"12";"compulsive";"";""
"25";"concealed";"";""
"15";"conceit";"";""
"12";"conception";"";""
"25";"concernings";"";""
"12";"concluded";"";""
"25";"condole";"";""
"25";"condolement";"";""
"25";"confederate";"";""
"25";"conference";"";""
"0";"confess";"";""
"38";"confession";"";""
"25";"confidant";"";""
"12";"confine";"";""
"12";"confined";"";""
"51";"confound";"";""
"25";"confront";"";""
"25";"congregation";"";""
"25";"congruing";"";""
"25";"conjectures";"";""
"12";"conjunctive";"";""
"12";"conjuration";"";""
"12";"conjure";"";""
"25";"conjures";"";""
"25";"conquest";"";""
"63";"conscience";"";""
"10";"consent";"";""
"25";"considered";"";""
"25";"consonancy";"";""
"12";"constant";"";""
"25";"consummation";"";""
"25";"contagion";"";""
"25";"contagious";"";""
"25";"contend";"";""
"0";"content";"";""
"25";"continent";"";""
"25";"continual";"";""
"12";"contracted";"";""
"25";"contraction";"";""
"12";"contrary";"";""
"51";"contrive";"";""
"12";"convenience";"";""
"12";"conversation";"";""
"25";"convert";"";""
"25";"converted";"";""
"10";"convey";"";""
"12";"conveyance";"";""
"25";"conveyances";"";""
"25";"convocation";"";""
"5";"cool";"";""
"25";"coped";"";""
"25";"copied";"";""
"102";"cornelius";"";""
"12";"corner";"";""
"12";"coronet";"";""
"25";"corpse";"";""
"5";"corrupted";"";""
"12";"corruption";"";""
"25";"corse";"";""
"25";"corses";"";""
"10";"cost";"";""
"25";"costly";"";""
"51";"coted";"";""
"10";"couch";"";""
"25";"couched";"";""
"25";"councillor";"";""
"0";"counsel";"";""
"25";"counselor";"";""
"38";"count";"";""
"38";"countenance";"";""
"5";"counterfeit";"";""
"25";"countries";"";""
"0";"country";"";""
"12";"couple";"";""
"25";"couplets";"";""
"12";"courses";"";""
"21";"court";"";""
"12";"courteous";"";""
"12";"courtesy";"";""
"25";"courtiers";"";""
"15";"cousin";"";""
"12";"cowards";"";""
"25";"cozened";"";""
"5";"crack";"";""
"25";"cracked";"";""
"25";"cracks";"";""
"12";"craft";"";""
"25";"crafts";"";""
"25";"crafty";"";""
"25";"crash";"";""
"25";"craven";"";""
"5";"craves";"";""
"25";"crawling";"";""
"25";"created";"";""
"12";"creation";"";""
"0";"creature";"";""
"15";"creatures";"";""
"25";"credent";"";""
"25";"creep";"";""
"25";"crew";"";""
"25";"crib";"";""
"10";"cried";"";""
"0";"cries";"";""
"38";"crimes";"";""
"25";"criminal";"";""
"25";"croaking";"";""
"25";"crook";"";""
"5";"cross";"";""
"25";"crowing";"";""
"5";"crown";"";""
"25";"crowner";"";""
"12";"crowns";"";""
"0";"cruel";"";""
"12";"crust";"";""
"25";"cudgel";"";""
"5";"cue";"";""
"25";"cuffs";"";""
"0";"cunning";"";""
"0";"cup";"";""
"25";"curb";"";""
"0";"cure";"";""
"25";"curiously";"";""
"51";"currents";"";""
"0";"curse";"";""
"21";"cursed";"";""
"37";"custom";"";""
"25";"customary";"";""
"0";"cut";"";""
"25";"cutpurse";"";""
"51";"daggers";"";""
"12";"daily";"";""
"25";"daintier";"";""
"25";"dalliance";"";""
"12";"damn";"";""
"25";"damnable";"";""
"0";"damned";"";""
"25";"damon";"";""
"12";"dane";"";""
"15";"danger";"";""
"0";"dangerous";"";""
"153";"danish";"";""
"25";"danskers";"";""
"25";"dared";"";""
"0";"dark";"";""
"25";"darkest";"";""
"0";"daughter";"";""
"12";"dawning";"";""
"0";"day";"";""
"0";"days";"";""
"0";"dead";"";""
"5";"deal";"";""
"12";"dealt";"";""
"0";"dear";"";""
"0";"dearest";"";""
"12";"dearly";"";""
"25";"dearth";"";""
"0";"death";"";""
"25";"deaths";"";""
"25";"debate";"";""
"25";"debatement";"";""
"25";"decayer";"";""
"12";"decline";"";""
"25";"declines";"";""
"25";"declining";"";""
"31";"deed";"";""
"0";"deeds";"";""
"21";"deep";"";""
"25";"deeply";"";""
"25";"deer";"";""
"25";"defeat";"";""
"25";"defeated";"";""
"25";"defeats";"";""
"12";"defective";"";""
"15";"defend";"";""
"25";"define";"";""
"25";"definement";"";""
"5";"defy";"";""
"25";"deject";"";""
"12";"dejected";"";""
"5";"delay";"";""
"25";"delays";"";""
"25";"deliberate";"";""
"10";"delicate";"";""
"15";"delight";"";""
"25";"delights";"";""
"0";"deliver";"";""
"5";"delivered";"";""
"25";"delve";"";""
"10";"demand";"";""
"12";"demanded";"";""
"51";"demands";"";""
"25";"demonstrated";"";""
"12";"denied";"";""
"12";"denies";"";""
"255";"denmark";"";""
"5";"denote";"";""
"0";"deny";"";""
"12";"departed";"";""
"25";"depends";"";""
