"weight";"word";"color";"url"
"33";"buoy";"";""
"67";"burgundy";"";""
"0";"burn";"";""
"0";"burning";"";""
"33";"burst";"";""
"33";"bursts";"";""
"16";"bury";"";""
"0";"business";"";""
"7";"busy";"";""
"33";"buttered";"";""
"33";"buy";"";""
"33";"cackling";"";""
"33";"cadent";"";""
"16";"caitiff";"";""
"0";"calls";"";""
"67";"camp";"";""
"0";"canst";"";""
"16";"cap";"";""
"16";"capital";"";""
"7";"captain";"";""
"33";"captives";"";""
"33";"carbonado";"";""
"33";"carbuncle";"";""
"42";"care";"";""
"67";"cares";"";""
"169";"carnegie";"";""
"16";"carp";"";""
"7";"carried";"";""
"42";"carry";"";""
"16";"cart";"";""
"0";"case";"";""
"33";"casement";"";""
"0";"cast";"";""
"33";"castle";"";""
"14";"cat";"";""
"33";"cataracts";"";""
"33";"catastrophe";"";""
"0";"catch";"";""
"33";"caught";"";""
"33";"cautions";"";""
"14";"cease";"";""
"7";"censure";"";""
"33";"century";"";""
"33";"ceremonious";"";""
"33";"chafes";"";""
"33";"chair";"";""
"33";"chalky";"";""
"0";"chamber";"";""
"33";"chambermaids";"";""
"33";"champains";"";""
"33";"champion";"";""
"0";"chance";"";""
"0";"change";"";""
"16";"changed";"";""
"33";"channels";"";""
"33";"character";"";""
"0";"charge";"";""
"203";"charges";"";""
"16";"charity";"";""
"16";"charms";"";""
"33";"che";"";""
"33";"cheap";"";""
"33";"check";"";""
"33";"checks";"";""
"7";"cheek";"";""
"33";"cheese";"";""
"7";"chide";"";""
"33";"chiding";"";""
"0";"child";"";""
"33";"childed";"";""
"33";"childlike";"";""
"14";"children";"";""
"101";"chill";"";""
"33";"chin";"";""
"14";"choice";"";""
"16";"choler";"";""
"33";"choleric";"";""
"0";"choose";"";""
"33";"choughs";"";""
"33";"chud";"";""
"33";"churches";"";""
"33";"clamorous";"";""
"67";"clamour";"";""
"33";"clearest";"";""
"33";"clears";"";""
"16";"cliff";"";""
"7";"climb";"";""
"33";"climbing";"";""
"0";"close";"";""
"16";"clothes";"";""
"33";"clotpoll";"";""
"33";"clovest";"";""
"33";"cockney";"";""
"33";"codpiece";"";""
"49";"cold";"";""
"67";"colder";"";""
"33";"colour";"";""
"16";"combine";"";""
"0";"comfort";"";""
"16";"comfortable";"";""
"33";"comforting";"";""
"33";"comforts";"";""
"0";"coming";"";""
"14";"command";"";""
"16";"commanded";"";""
"14";"commands";"";""
"0";"commend";"";""
"169";"commercial";"";""
"0";"commission";"";""
"101";"commit";"";""
"0";"common";"";""
"33";"compact";"";""
"16";"companion";"";""
"33";"compeers";"";""
"35";"complete";"";""
"67";"compliment";"";""
"33";"composition";"";""
"16";"compounded";"";""
"33";"comrade";"";""
"33";"concealing";"";""
"33";"concealment";"";""
"33";"conceals";"";""
"7";"conceit";"";""
"33";"conceive";"";""
"16";"concluded";"";""
"33";"condemn";"";""
"7";"conduct";"";""
"33";"conductor";"";""
"33";"confederacy";"";""
"33";"confer";"";""
"33";"conferring";"";""
"0";"confess";"";""
"16";"confined";"";""
"33";"confirmation";"";""
"67";"conflict";"";""
"33";"conjunct";"";""
"33";"conjuring";"";""
"33";"consideration";"";""
"33";"conspirant";"";""
"33";"constant";"";""
"16";"constrains";"";""
"33";"contemns";"";""
"33";"contemplation";"";""
"16";"contempt";"";""
"33";"contending";"";""
"0";"content";"";""
"33";"contentious";"";""
"16";"continent";"";""
"16";"contracted";"";""
"16";"contradict";"";""
"33";"contraries";"";""
"33";"contriving";"";""
"16";"control";"";""
"16";"convenience";"";""
"67";"convenient";"";""
"16";"converse";"";""
"21";"convey";"";""
"7";"cool";"";""
"339";"copies";"";""
"33";"copulation";"";""
"169";"copyright";"";""
"339";"cordelia";"";""
"7";"cords";"";""
"33";"corky";"";""
"33";"corn";"";""
"237";"cornwall";"";""
"16";"coronet";"";""
"33";"correction";"";""
"7";"corrupted";"";""
"33";"corrupter";"";""
"16";"corruption";"";""
"7";"cost";"";""
"33";"costard";"";""
"7";"couldst";"";""
"0";"counsel";"";""
"33";"counsels";"";""
"67";"countenance";"";""
"0";"country";"";""
"35";"court";"";""
"67";"cover";"";""
"33";"covering";"";""
"16";"covert";"";""
"33";"coward";"";""
"33";"cowardly";"";""
"16";"cowards";"";""
"33";"cowish";"";""
"101";"coxcombs";"";""
"33";"crab";"";""
"14";"crack";"";""
"33";"cradle";"";""
"16";"craft";"";""
"7";"crave";"";""
"14";"craves";"";""
"33";"crawl";"";""
"33";"creaking";"";""
"67";"create";"";""
"33";"creating";"";""
"0";"creature";"";""
"7";"creatures";"";""
"16";"credit";"";""
"16";"credulous";"";""
"14";"cried";"";""
"0";"cries";"";""
"33";"criest";"";""
"16";"crime";"";""
"33";"crimes";"";""
"33";"croak";"";""
"7";"cross";"";""
"33";"crosses";"";""
"21";"crown";"";""
"33";"crowns";"";""
"16";"crows";"";""
"0";"cruel";"";""
"33";"cruels";"";""
"16";"crust";"";""
"7";"crying";"";""
"67";"cuckoo";"";""
"7";"cue";"";""
"33";"cullionly";"";""
"0";"cunning";"";""
"0";"cup";"";""
"0";"cure";"";""
"101";"curiosity";"";""
"16";"curious";"";""
"16";"curled";"";""
"0";"curse";"";""
"33";"curses";"";""
"33";"curst";"";""
"0";"cut";"";""
"33";"cutpurses";"";""
"7";"cuts";"";""
"33";"dally";"";""
"0";"damned";"";""
"28";"danger";"";""
"0";"dangerous";"";""
"50";"dares";"";""
"0";"dark";"";""
"33";"darker";"";""
"50";"darkness";"";""
"16";"dart";"";""
"67";"daub";"";""
"0";"daughter";"";""
"372";"daughters";"";""
"16";"dawning";"";""
"0";"day";"";""
"0";"days";"";""
