"weight";"word";"color";"url"
"0";"case";"";""
"0";"cast";"";""
"7";"cat";"";""
"0";"catch";"";""
"35";"cave";"";""
"14";"cease";"";""
"88";"cell";"";""
"35";"centre";"";""
"35";"chain";"";""
"17";"challenge";"";""
"0";"chamber";"";""
"0";"chance";"";""
"17";"chances";"";""
"0";"change";"";""
"17";"chaos";"";""
"17";"chapless";"";""
"0";"charge";"";""
"35";"chariot";"";""
"17";"charm";"";""
"35";"charnel";"";""
"35";"chastity";"";""
"35";"chat";"";""
"36";"cheek";"";""
"70";"cheeks";"";""
"35";"cheer";"";""
"35";"cheerful";"";""
"35";"cheers";"";""
"29";"chide";"";""
"106";"chief";"";""
"17";"chiefly";"";""
"0";"child";"";""
"35";"childhood";"";""
"35";"childish";"";""
"14";"children";"";""
"7";"choice";"";""
"35";"choking";"";""
"17";"choler";"";""
"0";"choose";"";""
"7";"christian";"";""
"141";"church";"";""
"106";"churchyard";"";""
"35";"circle";"";""
"35";"circled";"";""
"7";"circumstance";"";""
"70";"citizens";"";""
"70";"city";"";""
"70";"civil";"";""
"35";"claps";"";""
"17";"clasps";"";""
"7";"clear";"";""
"17";"cleft";"";""
"35";"cleopatra";"";""
"7";"climb";"";""
"17";"cloak";"";""
"35";"clock";"";""
"0";"close";"";""
"17";"closely";"";""
"17";"closet";"";""
"106";"clouds";"";""
"35";"cloudy";"";""
"17";"clout";"";""
"35";"club";"";""
"35";"clubs";"";""
"17";"cock";"";""
"36";"cold";"";""
"17";"coldly";"";""
"17";"combine";"";""
"35";"comest";"";""
"0";"comfort";"";""
"17";"comfortable";"";""
"35";"comforted";"";""
"0";"coming";"";""
"0";"commend";"";""
"0";"commission";"";""
"0";"common";"";""
"35";"compare";"";""
"17";"compass";"";""
"35";"compounds";"";""
"7";"conceit";"";""
"35";"concludes";"";""
"70";"condemned";"";""
"14";"conduct";"";""
"0";"confess";"";""
"53";"confession";"";""
"35";"confidence";"";""
"35";"confines";"";""
"35";"confounds";"";""
"17";"conjuration";"";""
"70";"conjure";"";""
"36";"consent";"";""
"35";"consort";"";""
"35";"consorted";"";""
"35";"consortest";"";""
"35";"conspires";"";""
"17";"constrains";"";""
"17";"contempt";"";""
"0";"content";"";""
"35";"continuance";"";""
"17";"continue";"";""
"17";"contract";"";""
"17";"contradict";"";""
"17";"contrary";"";""
"35";"conveniently";"";""
"17";"convert";"";""
"7";"convey";"";""
"35";"convoy";"";""
"35";"cook";"";""
"35";"cophetua";"";""
"35";"cordial";"";""
"14";"cords";"";""
"35";"corns";"";""
"17";"corse";"";""
"7";"couch";"";""
"35";"coughing";"";""
"7";"couldst";"";""
"0";"counsel";"";""
"53";"count";"";""
"14";"counterfeit";"";""
"35";"countervail";"";""
"0";"country";"";""
"35";"counts";"";""
"530";"county";"";""
"17";"couple";"";""
"35";"courageous";"";""
"35";"courteous";"";""
"35";"courts";"";""
"35";"courtship";"";""
"36";"cousin";"";""
"17";"covert";"";""
"35";"cracking";"";""
"35";"cram";"";""
"7";"crave";"";""
"22";"craves";"";""
"0";"creature";"";""
"7";"cried";"";""
"0";"cries";"";""
"35";"crimson";"";""
"14";"cross";"";""
"35";"crossing";"";""
"70";"crow";"";""
"17";"crows";"";""
"0";"cruel";"";""
"35";"crush";"";""
"7";"crying";"";""
"35";"crystal";"";""
"35";"culling";"";""
"0";"cunning";"";""
"0";"cup";"";""
"35";"cupid";"";""
"0";"cure";"";""
"35";"cures";"";""
"35";"curfew";"";""
"17";"curious";"";""
"0";"curse";"";""
"14";"cursed";"";""
"35";"cursies";"";""
"17";"curtains";"";""
"7";"custom";"";""
"0";"cut";"";""
"7";"cuts";"";""
"35";"cutting";"";""
"70";"dagger";"";""
"0";"damned";"";""
"70";"dancing";"";""
"0";"dangerous";"";""
"35";"dank";"";""
"53";"dares";"";""
"0";"dark";"";""
"17";"darkness";"";""
"35";"dash";"";""
"35";"dashing";"";""
"35";"dateless";"";""
"35";"dates";"";""
"0";"daughter";"";""
"0";"day";"";""
"70";"daylight";"";""
"0";"days";"";""
"0";"dead";"";""
"22";"deadly";"";""
"70";"deaf";"";""
"14";"deal";"";""
"0";"dear";"";""
"17";"dearer";"";""
"0";"dearest";"";""
"17";"dearly";"";""
