n;k;m
533;100;149
534;100;158
535;100;144
536;100;152
537;100;154
538;100;149
539;100;151
540;100;151
541;100;150
542;100;156
543;100;147
544;100;154
545;100;151
546;100;151
547;100;160
548;100;153
549;100;152
550;100;147
551;100;151
552;100;142
553;100;154
554;100;153
555;100;146
556;100;148
557;100;147
558;100;151
559;100;152
560;100;151
561;100;146
562;100;160
563;100;152
564;100;155
565;100;149
566;100;148
567;100;146
568;100;150
569;100;155
570;100;156
571;100;146
572;100;149
573;100;149
574;100;150
575;100;159
576;100;154
577;100;155
578;100;161
579;100;151
580;100;159
581;100;158
582;100;156
583;100;149
584;100;160
585;100;159
586;100;163
587;100;153
588;100;155
589;100;151
590;100;155
591;100;156
592;100;151
593;100;161
594;100;157
595;100;156
596;100;158
597;100;152
598;100;152
599;100;153
600;100;149
601;100;148
602;100;151
603;100;157
604;100;158
605;100;160
606;100;158
607;100;160
608;100;154
609;100;157
610;100;152
611;100;155
612;100;148
613;100;154
614;100;153
615;100;147
616;100;153
617;100;148
618;100;160
619;100;156
620;100;162
621;100;162
622;100;154
623;100;155
624;100;151
625;100;154
626;100;157
627;100;155
628;100;160
629;100;160
630;100;156
631;100;158
632;100;159
633;100;151
634;100;159
635;100;158
636;100;153
637;100;151
638;100;159
639;100;158
640;100;159
641;100;162
642;100;165
643;100;158
644;100;161
645;100;162
646;100;158
647;100;150
648;100;157
649;100;159
650;100;159
651;100;157
652;100;160
653;100;160
654;100;154
655;100;154
656;100;160
657;100;156
658;100;158
659;100;157
660;100;156
661;100;160
662;100;155
663;100;160
664;100;156
665;100;162
666;100;158
667;100;160
668;100;159
669;100;170
670;100;157
671;100;162
672;100;155
673;100;158
674;100;154
675;100;161
676;100;165
677;100;161
678;100;161
679;100;155
680;100;159
681;100;161
682;100;158
683;100;165
684;100;162
685;100;157
686;100;155
687;100;161
688;100;164
689;100;158
690;100;163
691;100;161
692;100;158
693;100;171
694;100;158
695;100;164
696;100;164
697;100;154
698;100;170
699;100;161
700;100;164
701;100;164
702;100;167
703;100;165
704;100;165
705;100;157
706;100;160
707;100;156
708;100;167
709;100;158
710;100;166
711;100;163
712;100;165
713;100;153
714;100;161
715;100;159
716;100;161
717;100;170
718;100;163
719;100;171
720;100;167
721;100;160
722;100;157
723;100;163
724;100;161
725;100;163
726;100;161
727;100;161
728;100;156
729;100;163
730;100;161
731;100;165
732;100;164
733;100;166
734;100;162
735;100;161
736;100;162
737;100;169
738;100;166
739;100;164
740;100;170
741;100;163
742;100;167
743;100;167
744;100;167
745;100;171
746;100;164
747;100;164
748;100;161
749;100;163
750;100;169
751;100;164
752;100;168
753;100;163
754;100;163
755;100;158
756;100;166
757;100;165
758;100;163
759;100;166
