n;k;m
533;100;226
534;100;224
535;100;226
536;100;214
537;100;232
538;100;218
539;100;214
540;100;228
541;100;218
542;100;239
543;100;228
544;100;214
545;100;222
546;100;224
547;100;228
548;100;234
549;100;234
550;100;216
551;100;228
552;100;234
553;100;211
554;100;232
555;100;214
556;100;211
557;100;224
558;100;226
559;100;214
560;100;228
561;100;224
562;100;228
563;100;226
564;100;228
565;100;228
566;100;220
567;100;230
568;100;232
569;100;232
570;100;232
571;100;232
572;100;234
573;100;234
574;100;230
575;100;236
576;100;224
577;100;220
578;100;234
579;100;230
580;100;234
581;100;241
582;100;246
583;100;216
584;100;228
585;100;228
586;100;224
587;100;241
588;100;236
589;100;234
590;100;232
591;100;224
592;100;230
593;100;224
594;100;228
595;100;218
596;100;234
597;100;232
598;100;241
599;100;232
600;100;226
601;100;226
602;100;228
603;100;228
604;100;234
605;100;239
606;100;226
607;100;230
608;100;234
609;100;220
610;100;236
611;100;228
612;100;230
613;100;236
614;100;241
615;100;218
616;100;253
617;100;234
618;100;234
619;100;236
620;100;236
621;100;234
622;100;234
623;100;236
624;100;224
625;100;236
626;100;239
627;100;230
628;100;239
629;100;230
630;100;236
631;100;234
632;100;230
633;100;222
634;100;239
635;100;222
636;100;230
637;100;239
638;100;236
639;100;241
640;100;234
641;100;230
642;100;234
643;100;228
644;100;239
645;100;243
646;100;226
647;100;230
648;100;232
649;100;228
650;100;239
651;100;241
652;100;226
653;100;230
654;100;228
655;100;246
656;100;236
657;100;246
658;100;230
659;100;236
660;100;220
661;100;230
662;100;239
663;100;236
664;100;236
665;100;224
666;100;234
667;100;248
668;100;228
669;100;241
670;100;243
671;100;246
672;100;239
673;100;241
674;100;232
675;100;228
676;100;243
677;100;236
678;100;228
679;100;234
680;100;230
681;100;236
682;100;232
683;100;230
684;100;230
685;100;234
686;100;241
687;100;236
688;100;239
689;100;232
690;100;239
691;100;234
692;100;248
693;100;230
694;100;246
695;100;228
696;100;246
697;100;232
698;100;236
699;100;234
700;100;234
701;100;241
702;100;232
703;100;241
704;100;239
705;100;236
706;100;243
707;100;243
708;100;236
709;100;248
710;100;239
711;100;232
712;100;243
713;100;236
714;100;228
715;100;243
716;100;239
717;100;243
718;100;239
719;100;241
720;100;239
721;100;243
722;100;241
723;100;243
724;100;239
725;100;239
726;100;236
727;100;243
728;100;253
729;100;243
730;100;246
731;100;248
732;100;232
733;100;232
734;100;246
735;100;241
736;100;246
737;100;246
738;100;236
739;100;246
740;100;241
741;100;230
742;100;250
743;100;236
744;100;246
745;100;248
746;100;246
747;100;243
748;100;234
749;100;236
750;100;243
751;100;241
752;100;239
753;100;239
754;100;248
755;100;234
756;100;232
757;100;246
758;100;248
759;100;248
760;100;250
761;100;241
762;100;246
763;100;241
764;100;236
765;100;232
766;100;243
767;100;241
768;100;239
769;100;250
770;100;250
771;100;246
772;100;236
773;100;243
774;100;243
775;100;239
776;100;241
777;100;243
778;100;239
779;100;236
780;100;243
781;100;243
782;100;248
783;100;236
784;100;243
785;100;250
786;100;241
787;100;241
788;100;236
789;100;243
790;100;243
791;100;248
792;100;236
793;100;250
794;100;248
795;100;234
796;100;243
797;100;243
798;100;248
799;100;253
800;100;246
801;100;246
802;100;243
803;100;243
804;100;239
805;100;239
806;100;243
807;100;246
808;100;246
809;100;248
810;100;239
811;100;241
812;100;246
813;100;250
814;100;243
815;100;236
816;100;248
817;100;241
818;100;234
819;100;248
820;100;243
821;100;253
822;100;243
823;100;248
824;100;241
825;100;241
826;100;248
827;100;250
828;100;246
829;100;246
830;100;241
831;100;253
832;100;243
833;100;250
834;100;253
835;100;239
836;100;250
837;100;246
838;100;246
839;100;236
840;100;248
841;100;250
842;100;248
