n;k;m
498;100;1622
499;100;1838
500;100;1888
501;100;2015
502;100;1651
503;100;2093
504;100;1906
505;100;1758
506;100;1689
507;100;1865
508;100;1604
509;100;2018
510;100;1941
511;100;2208
512;100;1650
513;100;1777
514;100;1926
515;100;2013
516;100;2188
517;100;1995
518;100;2010
519;100;1862
520;100;1969
521;100;2009
522;100;1911
523;100;1860
524;100;1990
525;100;2049
526;100;2074
527;100;1861
528;100;2070
529;100;1965
530;100;1775
531;100;2152
532;100;1712
533;100;1914
534;100;2180
535;100;1986
536;100;1727
537;100;2344
538;100;1847
539;100;1903
540;100;2111
541;100;2060
542;100;2363
543;100;1713
544;100;1901
545;100;1995
546;100;2034
547;100;1926
548;100;2065
549;100;2181
550;100;1786
551;100;1943
552;100;2143
553;100;2080
554;100;2191
555;100;2159
556;100;1955
557;100;2309
558;100;1951
559;100;2482
560;100;2044
561;100;1862
562;100;2148
563;100;1904
564;100;1882
565;100;2027
566;100;2327
567;100;2309
568;100;2319
569;100;2222
570;100;2144
571;100;2103
572;100;1943
573;100;2055
574;100;2221
575;100;2179
576;100;1880
577;100;2537
578;100;2461
579;100;2005
580;100;2025
581;100;2231
582;100;2177
583;100;2336
584;100;1933
585;100;1942
586;100;2422
587;100;2135
588;100;2240
589;100;2502
590;100;2320
591;100;2147
592;100;2136
593;100;2372
594;100;2411
595;100;2000
596;100;2032
597;100;2243
598;100;2400
599;100;2514
600;100;2326
601;100;1977
602;100;2272
603;100;2139
604;100;1840
605;100;2067
606;100;2484
607;100;1905
608;100;2469
609;100;2143
610;100;2064
611;100;2223
612;100;2692
613;100;1976
614;100;2186
615;100;2002
616;100;2305
617;100;2030
618;100;1761
619;100;2271
620;100;2336
621;100;2368
622;100;2371
623;100;2492
624;100;3055
625;100;2131
626;100;2214
627;100;2231
628;100;2511
629;100;2214
630;100;2334
631;100;2450
632;100;2560
633;100;2197
634;100;2206
635;100;2291
636;100;2518
637;100;2406
638;100;2667
639;100;2626
640;100;2382
641;100;2278
642;100;2787
643;100;2607
644;100;2104
645;100;2358
646;100;2530
647;100;2249
648;100;2466
649;100;2436
650;100;2294
651;100;2262
652;100;2311
653;100;2632
654;100;3224
655;100;2375
656;100;2230
657;100;2711
658;100;1990
659;100;2170
660;100;2317
661;100;3098
662;100;2863
663;100;2571
664;100;2320
665;100;2683
666;100;2123
667;100;2369
668;100;2165
669;100;2883
670;100;2846
671;100;2679
672;100;2522
673;100;2892
674;100;2298
675;100;2872
676;100;2791
677;100;2411
678;100;2775
679;100;2598
680;100;2637
681;100;2365
682;100;2686
683;100;2858
684;100;2871
685;100;2433
686;100;2518
687;100;2605
688;100;2252
689;100;2978
690;100;2463
691;100;2398
692;100;2323
693;100;2794
694;100;2434
695;100;2621
696;100;2893
697;100;2437
698;100;2333
699;100;2841
700;100;2468
701;100;2858
702;100;2805
703;100;2521
704;100;2799
705;100;2640
706;100;2127
707;100;2514
708;100;2982
709;100;2525
710;100;2919
711;100;2423
712;100;2622
713;100;2448
714;100;2892
715;100;2493
716;100;3141
717;100;2963
718;100;3023
719;100;3268
720;100;2490
721;100;2571
722;100;2563
723;100;2522
724;100;2486
725;100;2799
726;100;2477
727;100;2956
728;100;2726
729;100;2361
730;100;2930
731;100;2901
732;100;2730
733;100;2721
734;100;2971
735;100;2654
736;100;2628
737;100;2971
738;100;2869
739;100;2894
740;100;2786
741;100;2754
742;100;2207
743;100;2621
744;100;3331
745;100;3314
746;100;2453
747;100;2807
748;100;2628
749;100;2177
750;100;3133
751;100;2781
752;100;2943
753;100;2700
754;100;2771
755;100;2824
756;100;3090
757;100;2844
758;100;3823
759;100;2666
760;100;3040
761;100;2572
762;100;2603
763;100;3173
764;100;3060
765;100;3146
766;100;2465
767;100;3275
768;100;2215
769;100;2595
770;100;3093
771;100;3051
772;100;2389
773;100;3308
774;100;2745
775;100;2927
776;100;3306
777;100;2953
778;100;2897
779;100;3664
780;100;2850
781;100;2815
782;100;3524
783;100;3050
784;100;3003
785;100;3530
786;100;2903
787;100;3457
788;100;3003
789;100;3160
790;100;2614
791;100;3710
792;100;2770
793;100;2652
794;100;3024
795;100;2904
796;100;3644
797;100;3592
798;100;3035
799;100;2617
800;100;3169
801;100;2863
802;100;2945
803;100;2867
804;100;2906
805;100;3052
806;100;2767
807;100;2935
808;100;2874
809;100;2779
810;100;3002
811;100;2938
812;100;2709
813;100;2972
814;100;2906
815;100;2423
816;100;2933
817;100;3153
818;100;3062
819;100;3284
820;100;3348
821;100;3379
822;100;3695
823;100;3295
824;100;3024
825;100;3253
826;100;3133
827;100;2868
828;100;2836
829;100;2708
830;100;3242
831;100;2793
832;100;3466
833;100;4132
834;100;2876
835;100;3280
836;100;3072
837;100;3219
838;100;3106
839;100;2920
840;100;2800
841;100;3414
842;100;3623
843;100;3112
844;100;2828
845;100;3739
846;100;3328
847;100;3098
848;100;3728
849;100;3109
850;100;3015
851;100;2837
852;100;3433
853;100;3063
854;100;3457
855;100;3708
856;100;2952
857;100;3181
858;100;2846
859;100;3372
860;100;3608
861;100;3146
862;100;3771
863;100;2752
864;100;3247
865;100;4142
866;100;3533
867;100;3369
868;100;3609
869;100;3676
870;100;3191
871;100;3091
872;100;3005
873;100;3354
874;100;3318
875;100;3145
876;100;2710
877;100;3978
878;100;3399
879;100;3526
880;100;3033
881;100;3527
882;100;3368
883;100;3309
884;100;3619
885;100;3177
886;100;3684
887;100;3048
888;100;3127
889;100;3796
890;100;4061
891;100;3199
892;100;2954
893;100;3564
894;100;2926
895;100;3451
896;100;4214
897;100;3847
898;100;4147
899;100;3250
900;100;4001
901;100;3499
902;100;3248
903;100;3676
904;100;3421
905;100;3466
906;100;3568
907;100;3284
908;100;3878
909;100;3540
910;100;3750
911;100;3352
912;100;3330
913;100;3267
914;100;3929
915;100;4269
916;100;3587
917;100;3173
918;100;3861
919;100;3642
920;100;3253
921;100;3620
922;100;3598
923;100;3729
924;100;3647
925;100;3807
926;100;3478
927;100;3624
928;100;3557
929;100;3539
930;100;3147
931;100;3920
932;100;2902
933;100;3838
934;100;2875
935;100;3860
936;100;3426
937;100;3216
938;100;3259
939;100;4764
940;100;3432
941;100;3585
942;100;4234
943;100;3699
944;100;3981
945;100;3388
946;100;3531
947;100;3748
948;100;4185
949;100;3953
950;100;3978
951;100;3624
952;100;3627
953;100;3249
954;100;3652
955;100;3210
956;100;3534
957;100;3578
958;100;3792
959;100;3623
960;100;4521
961;100;3298
962;100;3471
963;100;3307
964;100;3988
965;100;3726
966;100;3445
967;100;3912
968;100;3620
969;100;4235
970;100;3826
971;100;3699
972;100;3494
973;100;4170
974;100;3569
975;100;3443
976;100;3634
977;100;3845
978;100;3403
979;100;3855
980;100;3494
981;100;3771
982;100;3486
983;100;3632
984;100;4152
985;100;3674
986;100;3859
987;100;3679
988;100;4358
989;100;3510
990;100;4238
991;100;3646
992;100;3876
